Description,Days,Price,AvailableOn,Rating,Comment
"Flipkart Perfect Homes Atiu Metal 4 Seater Dining Set  (Finish Color -Satin Black, Knock Down)
",1,16489,Amazon,5,thank you very much flipkart sUuuuuuuper dining table set if any one going for small compact dining table you can blindly buy it I liked it very much it is very stylish looking set it is very different from regular wooden dining sets  product came in given time and the next day they came to install service is very. good from both the sides thank you once againREAD MORE
Material: Particle Board,2,13057,Flipkart,5,"Compact yet spacious as you sit on corners, so ample space to keep dishes and serve ware. Chairs are sturdy and comfortable due to low height seating. Tip: get placemats of round design so as to run along corners (shown in pic) .READ MORE"
W x H x D: 120 cm x 45 cm x 39.5 cm (3 ft 11 in x 1 ft 5 in x 1 ft 3 in),3,15106,Flipkart,5,beyond expectation.....superb thanks flipkart to hv such a beautiful dinning ...it enhances beauty of my home decor.........thanks a lot perfect homesREAD MORE
Ideal TV Size: 43 inch,4,15101,Flipkart,5,"perfect dining table for a small family. the dining table is compact and very comfortable. moreover, it is also suitable for a 1 bhk flat. thank you flipkart. worth the money. received just the way it showed in picture. also the installation was done as it was committed.READ MORE"
"Number of Drawers: 0, Number of Open Shelves: 6, Number of Closed Shelves: 2",5,15294,Flipkart,4,i am giving this r view after mostly 1 month of review. chairs are not sturdy i r ad in most of the review and saw that these are not capable of taking over 90kg of weight but as per my personal experience these can bear 100-110 kg of weight and these are sturdy but these are of less foam in seating area. so not comfortable for long seat. but table's glass is good in look wise but expected more thick as compared to pricing. table is not sturdy as it is tilting even after proper fitting. we ha...READ MORE
"Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner",6,13919,Flipkart,5,"You can not get a better product at this price range, tough glass strong chairs made up of iron,legs are looking nice and strong iron made and finally for which I was little worried before purchase is it's size but believe me four people can sit comfortably with their dinner plate or trays. Thank you Flipkart for this beautiful product at the affordable price.READ MORE"
,7,14496,Flipkart,5,Fantastic 👍 Product. Compact nd Chairs are comfortable to sit for 80-90kg. perfect For small family and pocket friendly 😊. Blindly go for this.READ MORE
,8,13021,Flipkart,5,"Sleek and stylist product. Also, it occupies very less space. Ideal for small families of 2-4 members. Will update the review after use. Just got it installed. Timely delivery and installation by flipkart.Updating the review after 4 months of use- Very good product. No problems observed. sturdy and stylish. Go for it!READ MORE"
,9,14830,Amazon,5,Awesome product...great deal by flipkart. i love shopping with flipkart for ever. Table is verry good design awesome. glass  quality good . People who are seeing small table . Go ahead with out thinking.READ MORE
,10,13181,Flipkart,5,100% value for money.... classy look with good quality material.... chairs are comfortable.....very easy to install  .... very good option for small space ....READ MORE
,11,14074,Amazon,5,This is an awesome product love the product good price. Comes with an iron legs but in looks it's like pure wood with toughened glass. Glossy finish. I'm happy.READ MORE
,12,14292,Flipkart,5,Great value for money.  Exactly same as depiction in flipkart. Although delivery was a bit late but installed within one day which really impressed me.  Thanks to Flipkart and great job by Jeeves installation team.READ MORE
,13,13198,Flipkart,3,"Reviewing after 1 month usage.ProsCompact and Good for smaller place.Chairs are good strength, can sit up to 100kg.Flipkart delivery and installation is good.ConsIt's overpriced for quality, expecting around 8 to 10kGlass is tufend but very thin it will sound on keeping anything on itChairs cushion thickness is very less so you can feel it's hardChairs cover are not very good quality compared to sopa cover, but ok okTable legs are with small metal square pipes, expecting little ...READ MORE"
,14,16134,Amazon,5,Very nice loved it perfect for small family Thank u FlipkartREAD MORE
,15,14942,Flipkart,5,Really happy with the product. Especially designed of the chair and really comfortable too and the person comes for installation is really good. Well behaved and mannered. Thank you flipkart for the wonderful product.READ MORE
,16,14704,Amazon,5,In one word best. Best in quality best in price. Best for small family. Space saving and strong. Don't think twice place the order right nowREAD MORE
,17,13369,Amazon,4,"Beautiful design and overall good product. Got a lot of complement from relatives on the dining table. I liked the wooden texture given to the base material although it is metallic. The design of chair is also beautiful. Good, compact dining table for small family. The quality of chairs can be improved though, the cushioning. It doesn't look long lasting. Hoping for the best.READ MORE"
,18,15821,Flipkart,5,the product is worth the money.the installation person is too cooperative and well mannered.Thanks Flipkart for this amazing product and Jeeves for the immediate installation too..READ MORE
,19,14956,Amazon,5,This is a very space saving dining table set which is big enough for 4 people to sit together and have a meal. You can also put 2-3 serving bowl in the centre of the table top easily while dining. Very happy with the product. Very scientifically designed for a cozy corner of your house.READ MORE
,20,15832,Amazon,4,"Cosy and comfortable chairs, table is cute and ideal for a small house with little space.The wooden look of the chair and table stand is outstanding.Worth the money spent. Overall a lovely & attractive piece.💐💐READ MORE"
,21,14264,Flipkart,5,"Dinning table is just superb and looks beautiful and strudy.Installation completed on time as promised by flipkart, and the guys were humble and quick to do the installation and were handling the objects carefully.READ MORE"
,22,15569,Amazon,4,"Perfect for small family , build quality is not that as , cushioning is average glass is not 12mm  it's probably 8 mm but durable ,after installation it will turn your dining space beautiful without any doubt ,, you can easily go for it if you get it within 10000-13000,you won't find any 4 seater dining table with chairs in the market under such price bracket .. so overall good dealREAD MORE"
,23,13940,Amazon,4,"Good product,looks amazing good for small space as it occupy less space ,quality is also look good one nagative thing is that leg of one chair is little short that is why this one chair is unstable but this is ignorable, overall dinning table is goodREAD MORE"
,24,16463,Amazon,5,"Product quality is ok,  look wise awesome but chair is not sturdy bit shaking when you sit on it. For me bit costly because I got it for  15k.  Other people have got it even for 10k . So I am little disappointed.READ MORE"
,25,14889,Amazon,4,"The perfect stuff that truly adds an outstanding beauty to your house. Intially, I was skeptical to order furniture online, as product was received I felt really happy with its curved design and space saving mechanism.PS: After using it for 15days, I found that this product is exceptionally good for regular usage as one has no need to fear of dents or breakage of glass. However,  still it has to wait and see for how long cushion of seats will last. Lessing one star as I found, one of the ch...READ MORE"
,26,15692,Flipkart,5,On time delivery . As said delivered on the time and incredible installation by the installation team. An awesome device by Flipkart. Such an employees will definitely gonna win the heart of Flipkart customers. 6 star rated service i.e. delivery and installation. Kudos to both the team.READ MORE
,27,16331,Flipkart,5,"as expected, simple and classy design.i liked it, and quality wise it is ok. it is strong enough for medium size people.READ MORE"
,28,15438,Flipkart,5,"A must buy, contemporary dining table that us compact and sturdy. looks beautiful and seems durable. Overall a good buy. Also, the installation team works in a timely manner and does a seamless job.READ MORE"
,29,13448,Amazon,5,Loved my experience of shopping for this super sleek n smart dining table with crisp chairs. Installation guy also came in the next day. Excited for my new piece of stylish furniture! Must buy for small spaces. High recommendedREAD MORE
,30,13505,Amazon,5,Great Product. Stylish too . Compact for a small flat but spacious too . Great service support from Jeeves in timely installation & commissioning.READ MORE
,31,15122,Flipkart,5,"Received the product on time . However I had arrange for a second visit for installation as the  !st installation was done by a callous ,rude ,engineeer who did not do his job properly and I urge flipkart to remove him from the service  or else it will degrade your customer service . Second installation done was upto my satisfaction.Coming to the product : The best that you can get at this price range . good quality glass , the chair legs are sturdy . Overall aesthetics gives this product...READ MORE"
,32,16075,Amazon,4,Superb. Compact and stylish. Height is little lower than usual dining tables. But not uncomfortable. The table is big enough to have 4 plates and other side dishes. You would not feel congested while having your meal. Seats have enough space to sit and the cushion is soft. Seats don't have full back but still you can lean back and relax. Due to corner design there is enough room for legs under the table as table legs won't come in between. This dining table won't eat much space as chairs shri...READ MORE
,33,13049,Flipkart,5,technician suresh kumar was very humble and courteous and installed the product in no time with perfection. quality of product is above expectation too. good job thumbs up. product case id 0885711READ MORE
,34,14095,Amazon,5,look nice and comfortable   . can't say much as to how durable it is because i have just purchased itREAD MORE
,35,13850,Flipkart,5,Akhilesh sharma kcjv160729 did excellent job his behavior is awesome he is man with golden heart and very professional with excellent communication skillREAD MORE
,36,14248,Amazon,5,"Good Product at a Good Price, bought it in BBD. Good quality and use less space. Even installation partner Jeeves does it job perfectly.READ MORE"
,37,15386,Flipkart,5,Nice product and quick and fast installation.. Installation guys is superb.. Keep it up.. Thanks flipkart for your love spreadness...  Nice offer 👍🤗READ MORE
,38,15619,Flipkart,4,very comfortable and quality is super delivery is good and installation is also very fast thank-you flipkartREAD MORE
,39,14518,Amazon,4,It looks as good as the picture. the person from Jeeves assembled it the same day and was efficient. Good product and good service.READ MORE
,40,16412,Amazon,5,"Product is as exactly described and meets our requirements.Special mention essential about the excellent customer service from Flipkart's contact centre. They were extremely helpful in arranging for an earlier appointment for assembly.  The original appointment was scheduled for Saturday, and we very much appreciate the efforts made to complete the job three days earlier.READ MORE"
,41,16359,Amazon,5,"It’s fancy, its big enough for four, looks really gr8. Also the installation happened on the same day. Thank you for such an amazing productREAD MORE"
,42,15344,Amazon,5,Awesome excellent service and product very satisfied Thankyou and God Bless you All Always Warm Regards Rajiv GulatiREAD MORE
,43,13560,Flipkart,5,Excellent product. Very compact and suitable for small apartments. On time delivery and assembly. Minor issues got resolved in a day. Good follow up done by flipkart during all stages of product delivery and assembly.READ MORE
,44,14799,Flipkart,1,The table lost its balance after 2 weeks of use.. it is very shaky. Go for a stable one.READ MORE
,45,14710,Flipkart,5,nice oneREAD MORE
,46,15067,Amazon,5,Awesome! It looks exactly superbly same as it is in flipkart pics.READ MORE
,47,16494,Flipkart,4,Looks goodChair comfort ok. Cant use it longer periods. Chairs are not stable.Didnt fit wellREAD MORE
,48,13870,Flipkart,5,Amazing product. Worth for Money. Go for it. it doesn't occupy more space and make your home beautifulREAD MORE
,49,13609,Flipkart,5,Completely satisfied.. if anyone looking for a small and cozy one go for itREAD MORE
,50,14566,Amazon,5,Fast delivery and same day installation. Product seems good. Will update review after using it.READ MORE
,51,13404,Amazon,5,Thank you flipkart. Finally a good oneREAD MORE
,52,14120,Flipkart,5,"It's a must have dinning table for small family,  worth a price, go for it without a second thought.READ MORE"
,53,16167,Flipkart,4,"Nice Product, looks perfect but not for rough useREAD MORE"
,54,13255,Amazon,5,Nice and compactREAD MORE
,55,14333,Amazon,5,very much happyREAD MORE
,56,13263,Amazon,4,amazing product.READ MORE
,57,15504,Amazon,5,Looking good.READ MORE
,58,16345,Amazon,5,Exactly what I have seen in picturesREAD MORE
,59,13458,Amazon,1,Very cheap poor quality product. Made of cheap iron road. It got dismantled from the leg within 3 days of installation.  Flippant rejected my money back and even any replacement. They just loot the customer. Don't get impressed by the pictureREAD MORE
,60,13481,Flipkart,5,gorgeous dining set .... Legs of the table and chairs are all metal with wood finish &glass is so thick and sturdy... don't think go for it ... absolutely beautifulREAD MORE
,61,14399,Flipkart,1,"one of the worst decision I ever made on online buying, disappointed by flipkart, not worthy purchase, its chairs are weak and uncomfortable, glass is although tempered but quite thin, if it survive more than 6 months I will feel my self lucky.READ MORE"
,62,14910,Amazon,5,"Very good quality, sturdy,compact, good one less spacing houses and budget friendly tooREAD MORE"
,63,15733,Amazon,5,It's not as small as you see in image. It has adequate space required for 4 people. I bought it for 12700 on big billion days. I have been using for 4 days and everything is good. Chairs are comfortableREAD MORE
,64,13894,Flipkart,5,ExcellentREAD MORE
,65,14048,Flipkart,4,I liked the product.  Looks sleek and stylish.  However i wish the foam  in the chair seats was of more better quality or a bit hard so that it might run for longer duration.READ MORE
,66,15980,Amazon,1,This is the condition of the table within 3days. There soo called laser pasting came off from 3 sides.  Dispite of complaning product refund was not completed within 14days and after that no one cares about your warranty. Jeeves the official partner of flipkart assign to take care of these problem will not listen and they will what they want. They just glued the parts with local glue that looks hideous. Tremendously worst experience i have ever had. Dont even think of buying.READ MORE
,67,14827,Flipkart,5,👍 product..Go for it without any confusionREAD MORE
,68,16191,Amazon,5,super Product. just awesomeREAD MORE
,69,15184,Amazon,5,compact and serves the purpose.READ MORE
,70,15473,Amazon,5,The first impression of the product is excellent. i am bulky and the chair is holding my weight and more importantly the packing and installation was very nice.READ MORE
,71,15803,Amazon,5,"Nice finishing, well built and looks classic. Comfatably fit for small dining space.READ MORE"
,72,13909,Flipkart,5,Looking so nice and comfortable.READ MORE
,73,13673,Flipkart,5,gud productREAD MORE
,74,16103,Flipkart,4,nice productREAD MORE
,75,13504,Amazon,5,It is metal.. For those wondering if it is wood or metal.READ MORE
,76,13748,Amazon,4,Nice Sturdy Product.....Some delivery issues was their but product is fine .And person who assamble this product take its L key ...and even not sanitised this and only takes his picture with this dining set and sanitiser bottle and uploaded on and finished his job..READ MORE
,77,16272,Flipkart,5,very nice and quateREAD MORE
,78,13686,Flipkart,5,"Though it looks small but it is much bigger than expected.. And quality is good, worth the money! Must buy...READ MORE"
,79,13574,Amazon,5,Good product... Comfortable and stronger....The major advantage noticed is the less space consumption...Recommendable product....READ MORE
,80,14412,Amazon,4,"Product is very good , but installation service is very poor . They took 10 days to provide installation service after delivery of product .However , product quality is well satisfied .READ MORE"
,81,15914,Amazon,5,Product is awesome 👍👍👍 go for itREAD MORE
,82,15677,Amazon,1,Looking good.  But the adhesive used for fixing the glass top with the legs aren't good enough. It is detached after use of one week.READ MORE
,83,13871,Amazon,5,Nice packaging from Flipkart . Excellent quality and good service from installation team and till now no problem.READ MORE
,84,14002,Amazon,4,Looking good. But not worth for your money(Rs.10500). Average quality. Will be a great deal if it is around 7k.READ MORE
,85,13835,Amazon,4,looks good but it's not long lastingREAD MORE
,86,13134,Flipkart,5,very good service..beautiful product...excellent experience...READ MORE
,87,14882,Flipkart,5,"This dining table occupy less space also looks beautiful.Good for small family.Legs of table and chair made up of iron so its strong enough.Seat fabrics quality is bit poor.Not faced any kind of issues in installation.In price range Rs.10500,the product is excellent.READ MORE"
,88,16176,Flipkart,2,"Product as described, simple and elegant.READ MORE"
,89,15360,Amazon,5,Really good product . Specialty for small room . Looking stylish . Instant change my room view. Metallic stand .READ MORE
,90,14359,Amazon,5,Excellent product.. giving the review aftr 10 month use.. no issue at all.. buy without any doubt..READ MORE
,91,13891,Amazon,5,My husband & me both is very happy with dis dining table... spacious product..READ MORE
,92,15363,Amazon,5,As expected good furniture at right priceREAD MORE
,93,13943,Amazon,5,looks ultimate and gives a royal look to your house..READ MORE
,94,15869,Amazon,3,1. Not satisfied about cushion in the chair2. Price is little bit higher.it would be better at 7-8k.READ MORE
,95,14352,Flipkart,1,Quality of materials is not good as compared to the price point .. not a value for money product. Chairs are not sturdy and glass quality is not scratch resistance . scratches  are  become visible only after one month and glass is very thin chances are high that they were break easily .. Please don't go for this product it's totally waste of money . The product actually deserve o star but there is no option to give it 0 🌟READ MORE
,96,13200,Amazon,5,"Too good…beyond our expectations! Guys don’t hesitate to purchase this dining set.Worth the price,good quality product,very sturdy,the glass is also very thick and of great quality.It is exactly as described n actually even better.The installation men were very good n they know what they’re doing.Everything is excellent.💯👍🏻👌🏻Honestly there’s no problem about the product i can easily give 5 stars without any hesitation…Thankyou FlipkartREAD MORE"
,97,16464,Flipkart,5,"Loved it, durable, beautiful,  compactREAD MORE"
,98,13016,Flipkart,5,"The dinning was good enough, also the installation process was so good and fast . Within 2 days everything completed i bought it, it got delivered, installation done."
,99,16421,Flipkart,4,"beware the glass is scratch prone though tampered glass, within one week lot of scratch's i got to see, definetly u need a table cover. rest all awesome.READ MORE"
,100,13958,Flipkart,2,The quality of the product is very poor . I don't recommend this product for purchase.READ MORE
,101,15317,Amazon,5,Super tqq so muchREAD MORE
,102,15615,Flipkart,4,SuperbREAD MORE
,103,13113,Amazon,5,Too good for 3/4 family membersREAD MORE
