Description,Days,Price,AvailableOn,Rating,Comment
"NVIDIA GeForce GTX 1650,15.6 inch Full HD,LED Backlit TFT LCD Anti-glare Display (45% NTSC Color Gamut, Wide Viewing Angle up to 170 Degrees, Ultra-Slim Design, 16:9 Aspect Ratio, IPS Level Panel, Mercury Free, Environment Friendly),Pre-installed Genuine Windows 10 OS.",1,54171,Flipkart,5,"Here is my review on this laptop after using for 2 weeks.I've heard that this laptop heats up really quickly, but I didn't felt any thing like that. This laptop never reaches more than 10 degrees above my room temperature, even after I game on it for 4 hours. This can run mostly all games on high setting with 60 fps. I personally have tried 2 games on it valorant and apex legends both runs on high setting with 60 fps. And even this gives me 60 fps with high settings while recording in Valor."
,2,48303,Flipkart,3,"So basically, laptop is well and good. But the huge and huge and huge problem is battery. Battery is drains so fast that you can't imagine, and trust me those who personally use this laptop can say same, and second worst part about this laptop is it's speakers, seriously your mobile phone can play better sound than this laptop. Pros - 1. Laptop performance is good (4.5) 2. Laptop display is just ok (4) 3. You will get fast boot time about 6-8 sec (4.5)  Cons -1. Worst battery (2) 2. ."
Light Laptop without Optical Disk Drive,3,48852,Flipkart,5,"Good Product, I am satisfied all of the features, except battery life, It is very awesome product, wheather have a little bits of improvement in battery life time."
Pre-installed Genuine Windows 10 OS,4,52352,Flipkart,4,"Posting this review after 8 days of usePros: Value for money          Graphics card can handle some good application          and softwares and games( far cry 5, batman Arkham          Knight) gonna install more after couple of days.          Display is good           Keyboard is good          Battery life is also good as of yet 😅Cons: Gets heated up really quick while gaming plus                     real hot 🔥           Speaker is average Overall in this price segment this lapt."
,5,50075,Amazon,5,Performance is good as I expect in this price segment they giving intel i5 10gen with 4gb nvidia 1650  there are no issue with normal use like surfing  web and it can handle some heavy application like matlab etc it's good for coding etc. If you are a heavy gamer this will not satisfy you but it suits for entry level and lite gamers. Worst battery back up it stands for 2 hours in normal usage and in heavy usage it will stands max 1 hours. But it's a value for money laptop and in this price se.
,6,54790,Flipkart,5,Amazing laptop. It has a premium and professional look with powerful hardware. Sound is a bit low but I bought external speakers for that so no problem. Everything else about the laptop easily makes up for that. Thanks alot Flipkart for the fast and safe delivery
,7,54007,Flipkart,4,"OK it's  really value for moneyfor this price it's better than MSI gf63 which is actually has the same price because it has num pad that I use very much.Look wise is so simple that I like very much.Speaker is not that bad that many people mentioned. I mean not very good but also not very badWiFi capacity is goodUSB ports are not as good as it should beCooling system works fine,  battery is the big issueand I knew it but its okay because nobody should play games with."
,8,53134,Amazon,4,Everything is fine with the laptop. It's fast to boot smooth in gaming but only setback is it's battery life which is not that efficient even if u r doing normal work on laptop. When u r playing a game then it will drown even faster probably running out in something 1-2 hours. everything else is fine. If u don't mind battery life and just want to play games than u should definitely go for it. It's best gaming laptop in this price range.
,9,53216,Flipkart,5,"product is good and performance is very smooth for video editings it not so good get upgrade for high graphic games handles smoothly heat management is goodbattery backup depends on work for heavy use 1hr,40min for less use 4hr for  battersaving 5hroverall expereince is very good"
,10,48496,Amazon,5,A very nice laptop with good display . Also very well performed in day to day activities as well as gaming.Definitely worth for money.  Buy it!!!
,11,51840,Flipkart,5,"Best deal in this budget 👌, boot in just fraction of seconds, really very very fast, performance wise it's best in segment, N-Vidia Graphics card along with 512ssd, makes ideal for gaming & other hevy tasks, only drawback is battery but we should understand that gaming laptop consume more power, rest of the things you will enjoy for sure. What I wants in a laptop it has all."
