Description,Days,Price,AvailableOn,Rating,Comment
"Flipkart Perfect Homes Riobo Engineered Wood TV Entertainment Unit (Finish Color - Wenge, Knock Down)",1,4507,Flipkart,5,thank you very much flipkart sUuuuuuuper dining table set if any one going for small compact dining table you can blindly buy it I liked it very much it is very stylish looking set it is very different from regular wooden dining sets  product came in given time and the next day they came to install service is very. good from both the sides thank you once again
Material: Particle Board,2,4987,Flipkart,5,"Compact yet spacious as you sit on corners, so ample space to keep dishes and serve ware. Chairs are sturdy and comfortable due to low height seating. Tip: get placemats of round design so as to run along corners (shown in pic) ."
W x H x D: 120 cm x 45 cm x 39.5 cm (3 ft 11 in x 1 ft 5 in x 1 ft 3 in),3,4255,Flipkart,5,beyond expectation.superb thanks flipkart to hv such a beautiful dinning .it enhances beauty of my home decor.thanks a lot perfect homes
Ideal TV Size: 43 inch,4,4494,Amazon,5,"perfect dining table for a small family. the dining table is compact and very comfortable. moreover, it is also suitable for a 1 bhk flat. thank you flipkart. worth the money. received just the way it showed in picture. also the installation was done as it was committed."
"Number of Drawers: 0, Number of Open Shelves: 6, Number of Closed Shelves: 2",5,4178,Amazon,4,i am giving this r view after mostly 1 month of review. chairs are not sturdy i r ad in most of the review and saw that these are not capable of taking over 90kg of weight but as per my personal experience these can bear 100-110 kg of weight and these are sturdy but these are of less foam in seating area. so not comfortable for long seat. but table's glass is good in look wise but expected more thick as compared to pricing. table is not sturdy as it is tilting even after proper fitting. we ha.
"Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner",6,4600,Amazon,5,"You can not get a better product at this price range, tough glass strong chairs made up of iron,legs are looking nice and strong iron made and finally for which I was little worried before purchase is it's size but believe me four people can sit comfortably with their dinner plate or trays. Thank you Flipkart for this beautiful product at the affordable price."
,7,5143,Flipkart,5,Fantastic 👍 Product. Compact nd Chairs are comfortable to sit for 80-90kg. perfect For small family and pocket friendly 😊. Blindly go for this.
,8,4489,Amazon,5,"Sleek and stylist product. Also, it occupies very less space. Ideal for small families of 2-4 members. Will update the review after use. Just got it installed. Timely delivery and installation by flipkart.Updating the review after 4 months of use- Very good product. No problems observed. sturdy and stylish. Go for it!"
,9,4482,Amazon,5,Awesome product.great deal by flipkart. i love shopping with flipkart for ever. Table is verry good design awesome. glass  quality good . People who are seeing small table . Go ahead with out thinking.
,10,5412,Flipkart,5,100% value for money classy look with good quality material chairs are comfortable.very easy to install   very good option for small space 
,11,5352,Amazon,5,This is an awesome product love the product good price. Comes with an iron legs but in looks it's like pure wood with toughened glass. Glossy finish. I'm happy.
,12,5333,Amazon,5,Great value for money.  Exactly same as depiction in flipkart. Although delivery was a bit late but installed within one day which really impressed me.  Thanks to Flipkart and great job by Jeeves installation team.
,13,4893,Amazon,3,"Reviewing after 1 month usage.ProsCompact and Good for smaller place.Chairs are good strength, can sit up to 100kg.Flipkart delivery and installation is good.ConsIt's overpriced for quality, expecting around 8 to 10kGlass is tufend but very thin it will sound on keeping anything on itChairs cushion thickness is very less so you can feel it's hardChairs cover are not very good quality compared to sopa cover, but ok okTable legs are with small metal square pipes, expecting little ."
,14,5275,Amazon,5,Very nice loved it perfect for small family Thank u Flipkart
,15,4356,Amazon,5,Really happy with the product. Especially designed of the chair and really comfortable too and the person comes for installation is really good. Well behaved and mannered. Thank you flipkart for the wonderful product.
,16,4955,Amazon,5,In one word best. Best in quality best in price. Best for small family. Space saving and strong. Don't think twice place the order right now
,17,5430,Amazon,4,"Beautiful design and overall good product. Got a lot of complement from relatives on the dining table. I liked the wooden texture given to the base material although it is metallic. The design of chair is also beautiful. Good, compact dining table for small family. The quality of chairs can be improved though, the cushioning. It doesn't look long lasting. Hoping for the best."
,18,5111,Amazon,5,the product is worth the money.the installation person is too cooperative and well mannered.Thanks Flipkart for this amazing product and Jeeves for the immediate installation too
,19,4541,Amazon,5,This is a very space saving dining table set which is big enough for 4 people to sit together and have a meal. You can also put 2-3 serving bowl in the centre of the table top easily while dining. Very happy with the product. Very scientifically designed for a cozy corner of your house.
,20,5253,Flipkart,4,"Cosy and comfortable chairs, table is cute and ideal for a small house with little space.The wooden look of the chair and table stand is outstanding.Worth the money spent. Overall a lovely & attractive piece.💐💐"
,21,4047,Amazon,5,"Dinning table is just superb and looks beautiful and strudy.Installation completed on time as promised by flipkart, and the guys were humble and quick to do the installation and were handling the objects carefully."
