Description,Days,Price,AvailableOn,Rating,Comment
"POCO M4 Pro (Cool Blue, 128 GB)",1,12945,Amazon,5,Nice Mobile Phone But I Want 5G Phone But Hurriedly I Have Ordered 4G No Matter It Is Very Good Phone Camera Is Very Good Specialy The Colour Which I Have Ordered Is Very Attractive And Display Games  Refresh Rate Is Very Good It Feels Like 120hzPhone Camera Colours Are Natural Overall The Phone Is Best In Segment.
8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,2,13099,Flipkart,4,"Worth for you pay. Good Ram, speed & no glitch or errors, display is good, fast charging 0 to 100 in 30 mins, good and decent battry backup for 5000mha, descent sound for dual speaker, camera is also decent, not more or less, it is decent quality phone which is undervalued for now. I dint get earphone with it so no feed back on for it. Picture is taken by the phone itself."
16.33 cm (6.43 inch) Full HD+ AMOLED Display,3,12610,Amazon,5,The whole phone awesome for this budget. It gets everything you need for a daily day. It suits gaming in good way. It's 8gb + 3gb extension memory. I am satisfied with the product.
64MP + 8MP + 2MP | 16MP Front Camera,4,14627,Amazon,4,After too many review I have finally choose this After using 1week i have done my best review 1) camera worth what u paid but not 64MP2) while using mobile especially watching videos and slightly heating problem3) touch sampling and display really worth what you paid iam satisfied4) battery 5000mah 80% works 5 finally if you get it this as much as low price really worth it.
5000 mAh Lithium-ion Polymer Battery,5,13706,Amazon,4,Performance is good but have some hitting issuedisplay quite impressive But camera have to improve. Not upto the mark.phone charging very fast 33w chrge support very well but sometimes i noticed the phone chrgout very quickly for hitting issue. Other wise phone is very smoth and performance decent
Mediatek Helio G96 Processor,6,15844,Flipkart,5,"After using one week I can say this is the best mobile phone in the market that beat other mobile phone in many aspects like either it's camere or display. It is best in performance, batter also powerful once a charge can run for two days, basically I like it's ram boosting technology that boot you ram by keeping physical ram free so that it gives better performance, look vice it's decent and one more it's very light weight so that we carry it very easy personally I like it's design because i."
,7,15869,Amazon,4,"It will be nice when the cammers accessibility at 60 FPS but 30 fps,slow motion is not bad,and pro mode is excellent and video is not at all shaking it's more gimblized is enoughnow comming to battery it's not much better it don't fulfil my expectations but over all battery not bad performance is fantastic and shortcut are very easy to acces.over all nice"
,8,15003,Flipkart,4,I bought this phone this is a pocket friendly 5g phone also I bought it in exchange of my old phone in comparison to that it is very good phone so if you want to buy a budget 5g phone this is a good option
,9,15743,Amazon,3,Battery backup could have been improved. Camera is nice but not as to expectation. Fast charging is good. 5G not supported but that's ok as it is mentioned. Rest it's fine. I mean 3.5 out of 5
,10,13514,Flipkart,3,"If you wants to buy this phone, then must read this review .PROS 1. Display quality is awesome 2. Performance is very good.3. Due to good refresh rate, it will give you smooth experience 4. Good Gaming 5. Fast charging 6. Good pics quality. (IN LIGHT) CONS 1. heating issues (due to heavy performance) 2. Battery drains quite fast All over it's a good all rounder phone. If you wants to buy this phone. Then you can go with it otherwise. There are several brand who gives good f."
,11,15338,Amazon,5,"Purchased on last Sunday. Perhaps affordable mobile in this range. Very slim phone, particularly battery backup is very good. Display is amoled.nice vibrant colours. Camera is ok. Best part is one can uninstall system apps / bloatware easily. No fuss. Just go for it guys."
,12,13731,Flipkart,5,"Good look and nice amoled display next camer quality verry verry good,and 33 wats fast charging good ,very bright display, almost good product"
,13,12922,Flipkart,2,"Before buying I read many review I hope this poco mobile is A good choice but, actually it is very bad main thing is camera is very very worst and performance is quit good only battery is ok either all not accept I am not happy if possible plz update camera for better reasult I request. Plz."
,14,13574,Amazon,5,Very nice phone andVery good cameraVery clear display qualityAnd good performanceSound also so goodI like it.poco m4 amoledThanks flipkart for lowest rate on 8 gb ram mobile
,15,12801,Flipkart,5,"This is a great phone for the price. Display, battery backup, sound quality are great for the price. The camera can be improved. Overall happy with the purchase."
,16,13342,Amazon,1,"Only processor is good remaining all things battery, camera and refresh rate of screen are not up to the mark, they are below average. Not money value phone. Redmi note 11 is better than this"
,17,13887,Flipkart,5,Awesome mobile
,18,15647,Amazon,5,Nice
,19,14914,Amazon,4,This is a very wonderful phone I really the fan of this phone the cast of money because of value of money is very cheap and touch performances very good ❤️❤️
,20,13703,Flipkart,4,Nice phone
,21,13444,Flipkart,5,Supeer go for it
,22,15724,Amazon,5,Very good mobile
,23,13422,Amazon,5,Nice back
,24,12547,Flipkart,5,Osm phone for this price segment💖
,25,14460,Amazon,5,nice
,26,12503,Amazon,5,I bought this phone this is a pocket friendly 5g phone also I bought it in exchange of my old phone in comparison to that it is very good phone so if you want to buy a budget 5g phone this is a good option
,27,14691,Flipkart,5,It's best. U should try it
,28,14699,Flipkart,5,Nice
,29,15959,Amazon,5,This is the best phone in this segment. Just go for it if you are looking for some intense gaming session
,30,12984,Flipkart,5,Supar
,31,14544,Flipkart,4,Best DisplayBattery get charged within 30min but also drainsCamera 📸 is awesomePerformance is goodAt this price best mobile
,32,14477,Flipkart,4,Camera is so cool
,33,14899,Flipkart,5,Nice.
,34,13609,Flipkart,4,Best for gamers Value  for money
,35,15835,Flipkart,5,Design is super.
,36,15758,Flipkart,3,its My Favor Colour And Fastest chip good
,37,15382,Flipkart,5,Very good.
,38,14912,Amazon,5,Nice mobile
,39,14787,Amazon,5,Very good phone
,40,15354,Amazon,4,"Over-all good product. Camera quality worst if you are looking for camera phone don't look at this. Processor, Ram, build quality overall good for average user best deal. Can get some more offers missing."
,41,13512,Flipkart,5,Poco mobile is good according to their prize and performance look also very stylish with mat finish .🤓😊😊😊
,42,14240,Flipkart,5,Battery backup is best part of this phone
,43,13759,Flipkart,3,Ok
,44,15841,Amazon,4,It's great to deal this product.
,45,12668,Flipkart,5,"Awesome phone, camera quality is very good, nice performance, sound quality is very nice. Love you poco's team"
,46,15272,Flipkart,4,This phone is very best in value of money 💸💸
,47,13449,Amazon,5,Nice
,48,14612,Flipkart,5,Nice camera
,49,14592,Flipkart,5,amazing phone 😍
,50,13126,Amazon,5,Good phone value for money product
,51,13373,Amazon,5,"Best phone, awesome camera 😘, all rounder best phone 📱"
,52,12862,Amazon,4,Price wise good phone
,53,14982,Flipkart,5,Excellent Phone 😊Superb display Performance is excellentOverall Full package phone 😍
,54,13466,Amazon,4,Value for money
